"content","ecoregion","replicate","year","type","NofCell","totalCell","areaHa","areaPercentage"
"seralStage",139,1,1600,1,6,2784,37.5,0.0021551724137931
"seralStage",139,1,1600,2,87,2784,543.75,0.03125
"seralStage",139,1,1600,3,133,2784,831.25,0.0477729885057471
"seralStage",139,1,1600,4,2557,2784,15981.25,0.918462643678161
"seralStage",139,1,1620,1,8,2784,50,0.0028735632183908
"seralStage",139,1,1620,2,71,2784,443.75,0.0255028735632184
"seralStage",139,1,1620,3,158,2784,987.5,0.0567528735632184
"seralStage",139,1,1620,4,2546,2784,15912.5,0.914511494252874
"seralStage",139,1,1640,1,3,2784,18.75,0.00107758620689655
"seralStage",139,1,1640,2,81,2784,506.25,0.0290948275862069
"seralStage",139,1,1640,3,150,2784,937.5,0.0538793103448276
"seralStage",139,1,1640,4,2550,2784,15937.5,0.915948275862069
"seralStage",139,1,1660,1,2,2784,12.5,0.000718390804597701
"seralStage",139,1,1660,2,71,2784,443.75,0.0255028735632184
"seralStage",139,1,1660,3,153,2784,956.25,0.0549568965517241
"seralStage",139,1,1660,4,2556,2784,15975,0.918103448275862
"seralStage",139,1,1680,1,11,2784,68.75,0.00395114942528736
"seralStage",139,1,1680,2,80,2784,500,0.028735632183908
"seralStage",139,1,1680,3,140,2784,875,0.0502873563218391
"seralStage",139,1,1680,4,2552,2784,15950,0.916666666666667
"seralStage",139,1,1700,1,5,2784,31.25,0.00179597701149425
"seralStage",139,1,1700,2,64,2784,400,0.0229885057471264
"seralStage",139,1,1700,3,146,2784,912.5,0.0524425287356322
"seralStage",139,1,1700,4,2567,2784,16043.75,0.922054597701149
"seralStage",139,1,1720,1,4,2784,25,0.0014367816091954
"seralStage",139,1,1720,2,98,2784,612.5,0.0352011494252874
"seralStage",139,1,1720,3,121,2784,756.25,0.0434626436781609
"seralStage",139,1,1720,4,2561,2784,16006.25,0.919899425287356
"seralStage",139,1,1740,1,6,2784,37.5,0.0021551724137931
"seralStage",139,1,1740,2,64,2784,400,0.0229885057471264
"seralStage",139,1,1740,3,161,2784,1006.25,0.0578304597701149
"seralStage",139,1,1740,4,2553,2784,15956.25,0.917025862068966
"seralStage",139,1,1760,1,10,2784,62.5,0.00359195402298851
"seralStage",139,1,1760,2,89,2784,556.25,0.0319683908045977
"seralStage",139,1,1760,3,139,2784,868.75,0.0499281609195402
"seralStage",139,1,1760,4,2546,2784,15912.5,0.914511494252874
"seralStage",139,1,1780,1,3,2784,18.75,0.00107758620689655
"seralStage",139,1,1780,2,79,2784,493.75,0.0283764367816092
"seralStage",139,1,1780,3,151,2784,943.75,0.0542385057471264
"seralStage",139,1,1780,4,2551,2784,15943.75,0.916307471264368
"seralStage",139,1,1800,1,8,2784,50,0.0028735632183908
"seralStage",139,1,1800,2,101,2784,631.25,0.0362787356321839
"seralStage",139,1,1800,3,126,2784,787.5,0.0452586206896552
"seralStage",139,1,1800,4,2549,2784,15931.25,0.91558908045977
"seralStage",139,1,1820,1,8,2784,50,0.0028735632183908
"seralStage",139,1,1820,2,76,2784,475,0.0272988505747126
"seralStage",139,1,1820,3,181,2784,1131.25,0.0650143678160919
"seralStage",139,1,1820,4,2519,2784,15743.75,0.904813218390805
"seralStage",139,1,1840,1,8,2784,50,0.0028735632183908
"seralStage",139,1,1840,2,96,2784,600,0.0344827586206897
"seralStage",139,1,1840,3,141,2784,881.25,0.0506465517241379
"seralStage",139,1,1840,4,2538,2784,15862.5,0.911637931034483
"seralStage",139,1,1860,1,5,2784,31.25,0.00179597701149425
"seralStage",139,1,1860,2,92,2784,575,0.0330459770114943
"seralStage",139,1,1860,3,157,2784,981.25,0.0563936781609195
"seralStage",139,1,1860,4,2530,2784,15812.5,0.908764367816092
"seralStage",139,1,1880,1,10,2784,62.5,0.00359195402298851
"seralStage",139,1,1880,2,89,2784,556.25,0.0319683908045977
"seralStage",139,1,1880,3,160,2784,1000,0.0574712643678161
"seralStage",139,1,1880,4,2525,2784,15781.25,0.906968390804598
"seralStage",139,1,1900,1,6,2784,37.5,0.0021551724137931
"seralStage",139,1,1900,2,86,2784,537.5,0.0308908045977011
"seralStage",139,1,1900,3,146,2784,912.5,0.0524425287356322
"seralStage",139,1,1900,4,2546,2784,15912.5,0.914511494252874
"seralStage",139,1,1920,1,7,2784,43.75,0.00251436781609195
"seralStage",139,1,1920,2,95,2784,593.75,0.0341235632183908
"seralStage",139,1,1920,3,143,2784,893.75,0.0513649425287356
"seralStage",139,1,1920,4,2539,2784,15868.75,0.911997126436782
"seralStage",139,1,1940,1,4,2784,25,0.0014367816091954
"seralStage",139,1,1940,2,83,2784,518.75,0.0298132183908046
"seralStage",139,1,1940,3,156,2784,975,0.0560344827586207
"seralStage",139,1,1940,4,2540,2784,15875,0.91235632183908
"seralStage",139,1,1960,1,4,2784,25,0.0014367816091954
"seralStage",139,1,1960,2,74,2784,462.5,0.0265804597701149
"seralStage",139,1,1960,3,150,2784,937.5,0.0538793103448276
"seralStage",139,1,1960,4,2553,2784,15956.25,0.917025862068966
"seralStage",139,1,1980,1,8,2784,50,0.0028735632183908
"seralStage",139,1,1980,2,78,2784,487.5,0.0280172413793103
"seralStage",139,1,1980,3,130,2784,812.5,0.0466954022988506
"seralStage",139,1,1980,4,2567,2784,16043.75,0.922054597701149
"seralStage",139,1,2000,1,14,2784,87.5,0.00502873563218391
"seralStage",139,1,2000,2,78,2784,487.5,0.0280172413793103
"seralStage",139,1,2000,3,137,2784,856.25,0.0492097701149425
"seralStage",139,1,2000,4,2555,2784,15968.75,0.917744252873563
"seralStage",139,2,1400,1,6,2784,37.5,0.0021551724137931
"seralStage",139,2,1400,2,111,2784,693.75,0.0398706896551724
"seralStage",139,2,1400,3,138,2784,862.5,0.0495689655172414
"seralStage",139,2,1400,4,2529,2784,15806.25,0.908405172413793
"seralStage",139,2,1420,1,5,2784,31.25,0.00179597701149425
"seralStage",139,2,1420,2,66,2784,412.5,0.0237068965517241
"seralStage",139,2,1420,3,166,2784,1037.5,0.0596264367816092
"seralStage",139,2,1420,4,2547,2784,15918.75,0.914870689655172
"seralStage",139,2,1440,1,9,2784,56.25,0.00323275862068966
"seralStage",139,2,1440,2,69,2784,431.25,0.0247844827586207
"seralStage",139,2,1440,3,142,2784,887.5,0.0510057471264368
"seralStage",139,2,1440,4,2564,2784,16025,0.920977011494253
"seralStage",139,2,1460,1,9,2784,56.25,0.00323275862068966
"seralStage",139,2,1460,2,80,2784,500,0.028735632183908
"seralStage",139,2,1460,3,122,2784,762.5,0.0438218390804598
"seralStage",139,2,1460,4,2573,2784,16081.25,0.924209770114943
"seralStage",139,2,1480,1,6,2784,37.5,0.0021551724137931
"seralStage",139,2,1480,2,80,2784,500,0.028735632183908
"seralStage",139,2,1480,3,131,2784,818.75,0.0470545977011494
"seralStage",139,2,1480,4,2567,2784,16043.75,0.922054597701149
"seralStage",139,2,1500,1,7,2784,43.75,0.00251436781609195
"seralStage",139,2,1500,2,79,2784,493.75,0.0283764367816092
"seralStage",139,2,1500,3,150,2784,937.5,0.0538793103448276
"seralStage",139,2,1500,4,2547,2784,15918.75,0.914870689655172
"seralStage",139,2,1520,1,8,2784,50,0.0028735632183908
"seralStage",139,2,1520,2,83,2784,518.75,0.0298132183908046
"seralStage",139,2,1520,3,149,2784,931.25,0.0535201149425287
"seralStage",139,2,1520,4,2543,2784,15893.75,0.913433908045977
"seralStage",139,2,1540,1,7,2784,43.75,0.00251436781609195
"seralStage",139,2,1540,2,78,2784,487.5,0.0280172413793103
"seralStage",139,2,1540,3,134,2784,837.5,0.048132183908046
"seralStage",139,2,1540,4,2564,2784,16025,0.920977011494253
"seralStage",139,2,1560,1,3,2784,18.75,0.00107758620689655
"seralStage",139,2,1560,2,85,2784,531.25,0.0305316091954023
"seralStage",139,2,1560,3,141,2784,881.25,0.0506465517241379
"seralStage",139,2,1560,4,2553,2784,15956.25,0.917025862068966
"seralStage",139,2,1580,1,3,2784,18.75,0.00107758620689655
"seralStage",139,2,1580,2,89,2784,556.25,0.0319683908045977
"seralStage",139,2,1580,3,145,2784,906.25,0.0520833333333333
"seralStage",139,2,1580,4,2545,2784,15906.25,0.914152298850575
"seralStage",139,2,1600,1,8,2784,50,0.0028735632183908
"seralStage",139,2,1600,2,85,2784,531.25,0.0305316091954023
"seralStage",139,2,1600,3,157,2784,981.25,0.0563936781609195
"seralStage",139,2,1600,4,2534,2784,15837.5,0.910201149425287
"seralStage",139,2,1620,1,4,2784,25,0.0014367816091954
"seralStage",139,2,1620,2,77,2784,481.25,0.0276580459770115
"seralStage",139,2,1620,3,142,2784,887.5,0.0510057471264368
"seralStage",139,2,1620,4,2561,2784,16006.25,0.919899425287356
"seralStage",139,2,1640,1,6,2784,37.5,0.0021551724137931
"seralStage",139,2,1640,2,94,2784,587.5,0.033764367816092
"seralStage",139,2,1640,3,142,2784,887.5,0.0510057471264368
"seralStage",139,2,1640,4,2542,2784,15887.5,0.913074712643678
"seralStage",139,2,1660,1,11,2784,68.75,0.00395114942528736
"seralStage",139,2,1660,2,77,2784,481.25,0.0276580459770115
"seralStage",139,2,1660,3,172,2784,1075,0.0617816091954023
"seralStage",139,2,1660,4,2523,2784,15768.75,0.90625
"seralStage",139,2,1680,1,5,2784,31.25,0.00179597701149425
"seralStage",139,2,1680,2,99,2784,618.75,0.0355603448275862
"seralStage",139,2,1680,3,137,2784,856.25,0.0492097701149425
"seralStage",139,2,1680,4,2542,2784,15887.5,0.913074712643678
"seralStage",139,2,1700,1,11,2784,68.75,0.00395114942528736
"seralStage",139,2,1700,2,91,2784,568.75,0.0326867816091954
"seralStage",139,2,1700,3,161,2784,1006.25,0.0578304597701149
"seralStage",139,2,1700,4,2520,2784,15750,0.905172413793103
"seralStage",139,2,1720,1,6,2784,37.5,0.0021551724137931
"seralStage",139,2,1720,2,91,2784,568.75,0.0326867816091954
"seralStage",139,2,1720,3,140,2784,875,0.0502873563218391
"seralStage",139,2,1720,4,2546,2784,15912.5,0.914511494252874
"seralStage",139,2,1740,1,4,2784,25,0.0014367816091954
"seralStage",139,2,1740,2,81,2784,506.25,0.0290948275862069
"seralStage",139,2,1740,3,144,2784,900,0.0517241379310345
"seralStage",139,2,1740,4,2554,2784,15962.5,0.917385057471264
"seralStage",139,2,1760,1,8,2784,50,0.0028735632183908
"seralStage",139,2,1760,2,75,2784,468.75,0.0269396551724138
"seralStage",139,2,1760,3,140,2784,875,0.0502873563218391
"seralStage",139,2,1760,4,2559,2784,15993.75,0.919181034482759
"seralStage",139,2,1780,1,9,2784,56.25,0.00323275862068966
"seralStage",139,2,1780,2,66,2784,412.5,0.0237068965517241
"seralStage",139,2,1780,3,154,2784,962.5,0.055316091954023
"seralStage",139,2,1780,4,2552,2784,15950,0.916666666666667
"seralStage",139,2,1800,1,8,2784,50,0.0028735632183908
"seralStage",139,2,1800,2,92,2784,575,0.0330459770114943
"seralStage",139,2,1800,3,135,2784,843.75,0.0484913793103448
"seralStage",139,2,1800,4,2546,2784,15912.5,0.914511494252874
"seralStage",139,2,1820,1,12,2784,75,0.00431034482758621
"seralStage",139,2,1820,2,91,2784,568.75,0.0326867816091954
"seralStage",139,2,1820,3,146,2784,912.5,0.0524425287356322
"seralStage",139,2,1820,4,2533,2784,15831.25,0.909841954022989
"seralStage",139,2,1840,1,5,2784,31.25,0.00179597701149425
"seralStage",139,2,1840,2,100,2784,625,0.0359195402298851
"seralStage",139,2,1840,3,163,2784,1018.75,0.0585488505747126
"seralStage",139,2,1840,4,2513,2784,15706.25,0.902658045977011
"seralStage",139,2,1860,1,4,2784,25,0.0014367816091954
"seralStage",139,2,1860,2,85,2784,531.25,0.0305316091954023
"seralStage",139,2,1860,3,180,2784,1125,0.0646551724137931
"seralStage",139,2,1860,4,2513,2784,15706.25,0.902658045977011
"seralStage",139,2,1880,1,5,2784,31.25,0.00179597701149425
"seralStage",139,2,1880,2,71,2784,443.75,0.0255028735632184
"seralStage",139,2,1880,3,152,2784,950,0.0545977011494253
"seralStage",139,2,1880,4,2554,2784,15962.5,0.917385057471264
"seralStage",139,2,1900,1,6,2784,37.5,0.0021551724137931
"seralStage",139,2,1900,2,68,2784,425,0.0244252873563218
"seralStage",139,2,1900,3,146,2784,912.5,0.0524425287356322
"seralStage",139,2,1900,4,2562,2784,16012.5,0.920258620689655
"seralStage",139,2,1920,1,8,2784,50,0.0028735632183908
"seralStage",139,2,1920,2,81,2784,506.25,0.0290948275862069
"seralStage",139,2,1920,3,132,2784,825,0.0474137931034483
"seralStage",139,2,1920,4,2562,2784,16012.5,0.920258620689655
"seralStage",139,2,1940,1,7,2784,43.75,0.00251436781609195
"seralStage",139,2,1940,2,63,2784,393.75,0.0226293103448276
"seralStage",139,2,1940,3,144,2784,900,0.0517241379310345
"seralStage",139,2,1940,4,2569,2784,16056.25,0.922772988505747
"seralStage",139,2,1960,1,8,2784,50,0.0028735632183908
"seralStage",139,2,1960,2,91,2784,568.75,0.0326867816091954
"seralStage",139,2,1960,3,127,2784,793.75,0.045617816091954
"seralStage",139,2,1960,4,2558,2784,15987.5,0.91882183908046
"seralStage",139,2,1980,1,6,2784,37.5,0.0021551724137931
"seralStage",139,2,1980,2,96,2784,600,0.0344827586206897
"seralStage",139,2,1980,3,142,2784,887.5,0.0510057471264368
"seralStage",139,2,1980,4,2540,2784,15875,0.91235632183908
"seralStage",139,2,2000,1,3,2784,18.75,0.00107758620689655
"seralStage",139,2,2000,2,88,2784,550,0.0316091954022989
"seralStage",139,2,2000,3,164,2784,1025,0.0589080459770115
"seralStage",139,2,2000,4,2529,2784,15806.25,0.908405172413793
"seralStage",139,3,1400,1,5,2780,31.25,0.00179856115107914
"seralStage",139,3,1400,2,91,2780,568.75,0.0327338129496403
"seralStage",139,3,1400,3,150,2780,937.5,0.0539568345323741
"seralStage",139,3,1400,4,2534,2780,15837.5,0.911510791366906
"seralStage",139,3,1420,1,5,2780,31.25,0.00179856115107914
"seralStage",139,3,1420,2,94,2780,587.5,0.0338129496402878
"seralStage",139,3,1420,3,149,2780,931.25,0.0535971223021583
"seralStage",139,3,1420,4,2532,2780,15825,0.910791366906475
"seralStage",139,3,1440,1,9,2780,56.25,0.00323741007194245
"seralStage",139,3,1440,2,70,2780,437.5,0.0251798561151079
"seralStage",139,3,1440,3,153,2780,956.25,0.0550359712230216
"seralStage",139,3,1440,4,2548,2780,15925,0.916546762589928
"seralStage",139,3,1460,1,4,2780,25,0.00143884892086331
"seralStage",139,3,1460,2,74,2780,462.5,0.0266187050359712
"seralStage",139,3,1460,3,120,2780,750,0.0431654676258993
"seralStage",139,3,1460,4,2582,2780,16137.5,0.928776978417266
"seralStage",139,3,1480,1,8,2780,50,0.00287769784172662
"seralStage",139,3,1480,2,74,2780,462.5,0.0266187050359712
"seralStage",139,3,1480,3,127,2780,793.75,0.0456834532374101
"seralStage",139,3,1480,4,2571,2780,16068.75,0.924820143884892
"seralStage",139,3,1500,1,5,2780,31.25,0.00179856115107914
"seralStage",139,3,1500,2,88,2780,550,0.0316546762589928
"seralStage",139,3,1500,3,141,2780,881.25,0.0507194244604317
"seralStage",139,3,1500,4,2546,2780,15912.5,0.915827338129496
"seralStage",139,3,1520,1,8,2780,50,0.00287769784172662
"seralStage",139,3,1520,2,86,2780,537.5,0.0309352517985612
"seralStage",139,3,1520,3,140,2780,875,0.0503597122302158
"seralStage",139,3,1520,4,2546,2780,15912.5,0.915827338129496
"seralStage",139,3,1540,1,6,2780,37.5,0.00215827338129496
"seralStage",139,3,1540,2,100,2780,625,0.0359712230215827
"seralStage",139,3,1540,3,144,2780,900,0.0517985611510791
"seralStage",139,3,1540,4,2530,2780,15812.5,0.910071942446043
"seralStage",139,3,1560,1,9,2780,56.25,0.00323741007194245
"seralStage",139,3,1560,2,82,2780,512.5,0.0294964028776978
"seralStage",139,3,1560,3,164,2780,1025,0.0589928057553957
"seralStage",139,3,1560,4,2525,2780,15781.25,0.908273381294964
"seralStage",139,3,1580,1,9,2780,56.25,0.00323741007194245
"seralStage",139,3,1580,2,81,2780,506.25,0.029136690647482
"seralStage",139,3,1580,3,155,2780,968.75,0.0557553956834532
"seralStage",139,3,1580,4,2535,2780,15843.75,0.911870503597122
"seralStage",139,3,1600,1,5,2780,31.25,0.00179856115107914
"seralStage",139,3,1600,2,90,2780,562.5,0.0323741007194245
"seralStage",139,3,1600,3,138,2780,862.5,0.0496402877697842
"seralStage",139,3,1600,4,2547,2780,15918.75,0.916187050359712
"seralStage",139,3,1620,1,4,2780,25,0.00143884892086331
"seralStage",139,3,1620,2,87,2780,543.75,0.031294964028777
"seralStage",139,3,1620,3,132,2780,825,0.0474820143884892
"seralStage",139,3,1620,4,2557,2780,15981.25,0.919784172661871
"seralStage",139,3,1640,1,5,2780,31.25,0.00179856115107914
"seralStage",139,3,1640,2,71,2780,443.75,0.0255395683453237
"seralStage",139,3,1640,3,132,2780,825,0.0474820143884892
"seralStage",139,3,1640,4,2572,2780,16075,0.925179856115108
"seralStage",139,3,1660,1,5,2780,31.25,0.00179856115107914
"seralStage",139,3,1660,2,69,2780,431.25,0.0248201438848921
"seralStage",139,3,1660,3,128,2780,800,0.0460431654676259
"seralStage",139,3,1660,4,2577,2780,16106.25,0.926978417266187
"seralStage",139,3,1680,1,5,2780,31.25,0.00179856115107914
"seralStage",139,3,1680,2,86,2780,537.5,0.0309352517985612
"seralStage",139,3,1680,3,131,2780,818.75,0.0471223021582734
"seralStage",139,3,1680,4,2557,2780,15981.25,0.919784172661871
"seralStage",139,3,1700,1,4,2780,25,0.00143884892086331
"seralStage",139,3,1700,2,73,2780,456.25,0.0262589928057554
"seralStage",139,3,1700,3,162,2780,1012.5,0.058273381294964
"seralStage",139,3,1700,4,2539,2780,15868.75,0.913309352517986
"seralStage",139,3,1720,1,4,2780,25,0.00143884892086331
"seralStage",139,3,1720,2,78,2780,487.5,0.0280575539568345
"seralStage",139,3,1720,3,145,2780,906.25,0.052158273381295
"seralStage",139,3,1720,4,2551,2780,15943.75,0.917625899280576
"seralStage",139,3,1740,1,2,2780,12.5,0.000719424460431655
"seralStage",139,3,1740,2,71,2780,443.75,0.0255395683453237
"seralStage",139,3,1740,3,155,2780,968.75,0.0557553956834532
"seralStage",139,3,1740,4,2550,2780,15937.5,0.91726618705036
"seralStage",139,3,1760,1,4,2780,25,0.00143884892086331
"seralStage",139,3,1760,2,72,2780,450,0.0258992805755396
"seralStage",139,3,1760,3,154,2780,962.5,0.0553956834532374
"seralStage",139,3,1760,4,2548,2780,15925,0.916546762589928
"seralStage",139,3,1780,1,4,2780,25,0.00143884892086331
"seralStage",139,3,1780,2,72,2780,450,0.0258992805755396
"seralStage",139,3,1780,3,125,2780,781.25,0.0449640287769784
"seralStage",139,3,1780,4,2576,2780,16100,0.926618705035971
"seralStage",139,3,1800,1,4,2780,25,0.00143884892086331
"seralStage",139,3,1800,2,94,2780,587.5,0.0338129496402878
"seralStage",139,3,1800,3,146,2780,912.5,0.0525179856115108
"seralStage",139,3,1800,4,2533,2780,15831.25,0.911151079136691
"seralStage",139,3,1820,1,8,2780,50,0.00287769784172662
"seralStage",139,3,1820,2,88,2780,550,0.0316546762589928
"seralStage",139,3,1820,3,139,2780,868.75,0.05
"seralStage",139,3,1820,4,2543,2780,15893.75,0.914748201438849
"seralStage",139,3,1840,1,7,2780,43.75,0.00251798561151079
"seralStage",139,3,1840,2,82,2780,512.5,0.0294964028776978
"seralStage",139,3,1840,3,164,2780,1025,0.0589928057553957
"seralStage",139,3,1840,4,2525,2780,15781.25,0.908273381294964
"seralStage",139,3,1860,1,3,2780,18.75,0.00107913669064748
"seralStage",139,3,1860,2,80,2780,500,0.0287769784172662
"seralStage",139,3,1860,3,149,2780,931.25,0.0535971223021583
"seralStage",139,3,1860,4,2546,2780,15912.5,0.915827338129496
"seralStage",139,3,1880,1,9,2780,56.25,0.00323741007194245
"seralStage",139,3,1880,2,74,2780,462.5,0.0266187050359712
"seralStage",139,3,1880,3,136,2780,850,0.0489208633093525
"seralStage",139,3,1880,4,2559,2780,15993.75,0.920503597122302
"seralStage",139,3,1900,1,3,2780,18.75,0.00107913669064748
"seralStage",139,3,1900,2,99,2780,618.75,0.0356115107913669
"seralStage",139,3,1900,3,138,2780,862.5,0.0496402877697842
"seralStage",139,3,1900,4,2538,2780,15862.5,0.91294964028777
"seralStage",139,3,1920,1,5,2780,31.25,0.00179856115107914
"seralStage",139,3,1920,2,88,2780,550,0.0316546762589928
"seralStage",139,3,1920,3,158,2780,987.5,0.0568345323741007
"seralStage",139,3,1920,4,2527,2780,15793.75,0.908992805755396
"seralStage",139,3,1940,1,3,2780,18.75,0.00107913669064748
"seralStage",139,3,1940,2,80,2780,500,0.0287769784172662
"seralStage",139,3,1940,3,166,2780,1037.5,0.0597122302158273
"seralStage",139,3,1940,4,2529,2780,15806.25,0.909712230215827
"seralStage",139,3,1960,1,9,2780,56.25,0.00323741007194245
"seralStage",139,3,1960,2,82,2780,512.5,0.0294964028776978
"seralStage",139,3,1960,3,141,2780,881.25,0.0507194244604317
"seralStage",139,3,1960,4,2546,2780,15912.5,0.915827338129496
"seralStage",139,3,1980,1,4,2780,25,0.00143884892086331
"seralStage",139,3,1980,2,88,2780,550,0.0316546762589928
"seralStage",139,3,1980,3,129,2780,806.25,0.0464028776978417
"seralStage",139,3,1980,4,2557,2780,15981.25,0.919784172661871
"seralStage",139,3,2000,1,6,2780,37.5,0.00215827338129496
"seralStage",139,3,2000,2,89,2780,556.25,0.0320143884892086
"seralStage",139,3,2000,3,140,2780,875,0.0503597122302158
"seralStage",139,3,2000,4,2543,2780,15893.75,0.914748201438849
"seralStage",139,4,1400,1,1,2784,6.25,0.000359195402298851
"seralStage",139,4,1400,2,78,2784,487.5,0.0280172413793103
"seralStage",139,4,1400,3,159,2784,993.75,0.0571120689655172
"seralStage",139,4,1400,4,2546,2784,15912.5,0.914511494252874
"seralStage",139,4,1420,1,9,2784,56.25,0.00323275862068966
"seralStage",139,4,1420,2,75,2784,468.75,0.0269396551724138
"seralStage",139,4,1420,3,128,2784,800,0.0459770114942529
"seralStage",139,4,1420,4,2571,2784,16068.75,0.923491379310345
"seralStage",139,4,1440,1,8,2784,50,0.0028735632183908
"seralStage",139,4,1440,2,73,2784,456.25,0.0262212643678161
"seralStage",139,4,1440,3,143,2784,893.75,0.0513649425287356
"seralStage",139,4,1440,4,2558,2784,15987.5,0.91882183908046
"seralStage",139,4,1460,1,7,2784,43.75,0.00251436781609195
"seralStage",139,4,1460,2,88,2784,550,0.0316091954022989
"seralStage",139,4,1460,3,157,2784,981.25,0.0563936781609195
"seralStage",139,4,1460,4,2529,2784,15806.25,0.908405172413793
"seralStage",139,4,1480,1,8,2784,50,0.0028735632183908
"seralStage",139,4,1480,2,83,2784,518.75,0.0298132183908046
"seralStage",139,4,1480,3,156,2784,975,0.0560344827586207
"seralStage",139,4,1480,4,2534,2784,15837.5,0.910201149425287
"seralStage",139,4,1500,1,7,2784,43.75,0.00251436781609195
"seralStage",139,4,1500,2,82,2784,512.5,0.0294540229885057
"seralStage",139,4,1500,3,156,2784,975,0.0560344827586207
"seralStage",139,4,1500,4,2537,2784,15856.25,0.911278735632184
"seralStage",139,4,1520,1,8,2784,50,0.0028735632183908
"seralStage",139,4,1520,2,78,2784,487.5,0.0280172413793103
"seralStage",139,4,1520,3,152,2784,950,0.0545977011494253
"seralStage",139,4,1520,4,2541,2784,15881.25,0.912715517241379
"seralStage",139,4,1540,1,5,2784,31.25,0.00179597701149425
"seralStage",139,4,1540,2,83,2784,518.75,0.0298132183908046
"seralStage",139,4,1540,3,160,2784,1000,0.0574712643678161
"seralStage",139,4,1540,4,2531,2784,15818.75,0.909123563218391
"seralStage",139,4,1560,1,7,2784,43.75,0.00251436781609195
"seralStage",139,4,1560,2,88,2784,550,0.0316091954022989
"seralStage",139,4,1560,3,135,2784,843.75,0.0484913793103448
"seralStage",139,4,1560,4,2549,2784,15931.25,0.91558908045977
"seralStage",139,4,1580,1,11,2784,68.75,0.00395114942528736
"seralStage",139,4,1580,2,79,2784,493.75,0.0283764367816092
"seralStage",139,4,1580,3,139,2784,868.75,0.0499281609195402
"seralStage",139,4,1580,4,2549,2784,15931.25,0.91558908045977
"seralStage",139,4,1600,1,9,2784,56.25,0.00323275862068966
"seralStage",139,4,1600,2,89,2784,556.25,0.0319683908045977
"seralStage",139,4,1600,3,135,2784,843.75,0.0484913793103448
"seralStage",139,4,1600,4,2546,2784,15912.5,0.914511494252874
"seralStage",139,4,1620,1,8,2784,50,0.0028735632183908
"seralStage",139,4,1620,2,101,2784,631.25,0.0362787356321839
"seralStage",139,4,1620,3,149,2784,931.25,0.0535201149425287
"seralStage",139,4,1620,4,2521,2784,15756.25,0.905531609195402
"seralStage",139,4,1640,1,4,2784,25,0.0014367816091954
"seralStage",139,4,1640,2,78,2784,487.5,0.0280172413793103
"seralStage",139,4,1640,3,178,2784,1112.5,0.0639367816091954
"seralStage",139,4,1640,4,2517,2784,15731.25,0.904094827586207
"seralStage",139,4,1660,1,5,2784,31.25,0.00179597701149425
